,X_org,Y_org,X_dest,Y_dest,time,frame
0,25.131924,55.247967,25.28748,55.39859,66,1
1,25.28748,55.39859,25.28538,55.41518,70,1
2,25.28538,55.41518,25.27492,55.43653,76,1
3,25.27492,55.43653,25.32007,55.34867,102,1
4,25.32007,55.34867,25.20046,55.62126,180,1
5,25.20046,55.62126,25.19782,55.61662,180,1
6,25.131924,55.247967,24.98686,55.40105,64,1
7,24.98686,55.40105,24.87767,55.36096,97,1
8,24.87767,55.36096,25.23662,55.47326,204,1
9,25.23662,55.47326,25.24314,55.47142,206,1
10,25.24314,55.47142,25.24851,55.47292,208,1
11,25.24851,55.47292,25.24995,55.47013,208,1
12,25.24995,55.47013,25.257,55.4811,211,1
13,25.257,55.4811,25.25829,55.48472,211,1
14,25.25829,55.48472,25.25009,55.48451,213,1
15,25.25009,55.48451,25.24339,55.4817,215,1
16,25.24339,55.4817,25.24029,55.51082,223,1
17,25.24029,55.51082,25.24069,55.5261,227,1
18,25.131924,55.247967,25.20072,55.37395,45,1
19,25.20072,55.37395,25.21557,55.39962,53,1
20,25.21557,55.39962,25.2122,55.40042,53,1
21,25.2122,55.40042,25.24019,55.40853,61,1
22,25.24019,55.40853,25.24488,55.42144,65,1
23,25.24488,55.42144,25.2539,55.42102,68,1
24,25.2539,55.42102,25.25249,55.41253,70,1
25,25.25249,55.41253,25.25423,55.44421,78,1
26,25.25423,55.44421,25.2682,55.45206,82,1
27,25.2682,55.45206,25.27338,55.45896,84,1
28,25.27338,55.45896,25.26084,55.45831,88,1
29,25.26084,55.45831,25.24978,55.4669,92,1
30,25.131924,55.247967,25.15769,55.37842,42,1
31,25.15769,55.37842,25.18176,55.40313,51,1
32,25.18176,55.40313,25.17595,55.41097,54,1
33,25.17595,55.41097,25.1774,55.41439,54,1
34,25.1774,55.41439,25.21085,55.41575,64,1
35,25.21085,55.41575,25.21886,55.41924,66,1
36,25.21886,55.41924,25.21863,55.42114,66,1
37,25.21863,55.42114,25.21949,55.42395,66,1
38,25.21949,55.42395,25.22959,55.43036,69,1
39,25.22959,55.43036,25.22684,55.43862,71,1
40,25.22684,55.43862,25.24295,55.44306,76,1
41,25.24295,55.44306,25.24903,55.43506,79,1
42,25.131924,55.247967,25.22346,55.3347,41,1
43,25.22346,55.3347,25.24414,55.31444,49,1
44,25.24414,55.31444,25.25875,55.32474,54,1
45,25.25875,55.32474,25.2628,55.33552,57,1
46,25.2628,55.33552,25.27426,55.31728,63,1
47,25.27426,55.31728,25.28382,55.36034,74,1
48,25.28382,55.36034,25.2802,55.37055,77,1
49,25.2802,55.37055,25.27473,55.36884,79,1
50,25.27473,55.36884,25.25414,55.38209,86,1
51,25.25414,55.38209,25.23526,55.40028,93,1
52,25.23526,55.40028,25.23404,55.41008,96,1
53,25.23404,55.41008,25.23752,55.41075,96,1
54,25.131924,55.247967,25.08255,55.35122,37,1
55,25.08255,55.35122,25.08086,55.35775,39,1
56,25.08086,55.35775,25.08416,55.35943,39,1
57,25.08416,55.35943,25.08702,55.35615,39,1
58,25.08702,55.35615,25.07551,55.36194,43,1
59,25.07551,55.36194,25.07112,55.36217,43,1
60,25.07112,55.36217,25.0689,55.36179,43,1
61,25.0689,55.36179,25.07524,55.36551,45,1
62,25.07524,55.36551,25.07693,55.3462,50,1
63,25.07693,55.3462,25.12708,55.37347,66,1
64,25.12708,55.37347,25.1284,55.3817,68,1
65,25.1284,55.3817,25.12446,55.39438,71,1
66,25.131924,55.247967,25.16349,55.33496,31,1
67,25.16349,55.33496,25.18283,55.36252,40,1
68,25.18283,55.36252,25.1815,55.37615,44,1
69,25.1815,55.37615,25.19189,55.38844,48,1
70,25.19189,55.38844,25.19143,55.38989,48,1
71,25.19143,55.38989,25.19837,55.3993,51,1
72,25.19837,55.3993,25.20325,55.40744,54,1
73,25.20325,55.40744,25.19664,55.412,56,1
74,25.19664,55.412,25.19307,55.42206,59,1
75,25.19307,55.42206,25.1894,55.43323,62,1
76,25.1894,55.43323,25.19317,55.44654,66,1
77,25.19317,55.44654,25.21071,55.44139,71,1
78,25.131924,55.247967,25.05599,55.21497,30,1
79,25.05599,55.21497,25.05676,55.20956,30,1
80,25.05676,55.20956,25.0601,55.21185,30,1
81,25.0601,55.21185,25.05423,55.16764,42,1
82,25.05423,55.16764,25.02698,55.17308,50,1
83,25.02698,55.17308,25.10846,55.13277,76,1
84,25.10846,55.13277,25.23008,55.26805,125,1
85,25.23008,55.26805,25.2351,55.27473,127,1
86,25.2351,55.27473,25.23199,55.28241,129,1
87,25.23199,55.28241,25.22318,55.29383,133,1
88,25.22318,55.29383,25.24562,55.29304,139,1
89,25.24562,55.29304,25.26016,55.29882,143,1
90,25.131924,55.247967,25.0823,55.22555,22,1
91,25.0823,55.22555,25.0756,55.22737,24,1
92,25.0756,55.22737,25.07452,55.23949,27,1
93,25.07452,55.23949,25.06094,55.23629,31,1
94,25.06094,55.23629,25.0477,55.25158,36,1
95,25.0477,55.25158,25.05229,55.25397,37,1
96,25.05229,55.25397,25.0414,55.23741,42,1
97,25.0414,55.23741,25.02596,55.24254,47,1
98,25.02596,55.24254,25.03464,55.26914,54,1
99,25.03464,55.26914,25.05287,55.28268,60,1
100,25.05287,55.28268,25.01201,55.3074,73,1
101,25.01201,55.3074,25.07476,55.344,93,1
102,25.131924,55.247967,25.17527,55.22161,21,1
103,25.17527,55.22161,25.17456,55.2213,21,1
104,25.17456,55.2213,25.18885,55.22908,26,1
105,25.18885,55.22908,25.18808,55.23945,29,1
106,25.18808,55.23945,25.20232,55.2512,34,1
107,25.20232,55.2512,25.2155,55.24957,38,1
108,25.2155,55.24957,25.21515,55.26952,43,1
109,25.21515,55.26952,25.20962,55.27976,46,1
